date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:34	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264c00bd1-24a3%22	https://Medhasa Edu-in.github.io/robots.txt		(from )
10:47:34	90921/90921	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-16329%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/index.html	(from )
10:47:34	21412/21412	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22697865d8-53a4%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/images/logo/transparent_logo.svg	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/images/logo/transparent_logo.svg	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:34	259148/259148	---M--	200	added ('OK')	image/png	etag:%22697865d8-3f44c%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/images/logo/logo.png	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/images/logo/logo.png	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:35	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:35	88944/88944	---M-Z	200	added ('OK')	text/css	etag:W/%22697865d8-15b70%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/css/styles.9349816a.css	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/css/styles.9349816a.css	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:35	11763/11763	---M-Z	200	added ('OK')	application/javascript	etag:W/%22697865d8-2df3%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/js/runtime~main.09a9dce2.js	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/js/runtime_main.09a9dce2.js	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:36	573415/573415	---M-Z	200	added ('OK')	application/javascript	etag:W/%22697865d8-8bfe7%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/js/main.fa81a50a.js	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/js/main.fa81a50a.js	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:37	90470/90470	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-16166%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:37	259148/259148	---M--	200	added ('OK')	image/png	etag:%22697865d8-3f44c%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/logo-ffbd6fbac3f7e67cd2106d706e9bd5d6.png	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/assets/images/logo-ffbd6fbac3f7e67cd2106d706e9bd5d6.png	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:37	15078/15078	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-3ae6%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/intro/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/newfeatures/intro/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	89275/89275	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-15cbb%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/intro/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/superadmin/intro/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	97825/97825	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-17e21%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/schooladmin/intro/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/schooladmin/intro/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	90620/90620	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d7-161fc%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/overview/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/overview/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	94344/94344	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d7-17088%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/overview/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/overview/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	44025/44025	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-abf9%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:38	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Feb%202026%2005:17:38%20GMT	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/overview	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/overview	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/)
10:47:39	93352/93352	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-16ca8%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/help-and-support/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/help-and-support/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:39	39131/39131	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d8-98db%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/changelog/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/changelog/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/)
10:47:39	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Feb%202026%2005:17:39%20GMT	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/overview	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/application-installation/overview	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/)
10:47:39	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Feb%202026%2005:17:39%20GMT	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/faqs	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/)
10:47:40	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Feb%202026%2005:17:39%20GMT	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/help-and-support	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/help-and-support	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/intro/)
10:47:40	36921/36921	---M-Z	200	added ('OK')	text/html	etag:W/%22697865d7-9039%22	https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/vps-server-setup/	D:/06-02-2026/eSchool-Saas-V1.8.2/medhasaedu/Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/vps-server-setup/index.html	(from https://Medhasa Edu-in.github.io/eSchool-SaaS-Doc/installation/admin-panel-installation/overview/)
